runs;prev_run;dim;stochastic;theta;rra;rho1y;gamma;subs;T;kappa1;kappa2;kappa3;pi3;pi2;tp;J;threshold_min;threshold_max;deterministic;gamma_EZ;epsilon_b
1;0;1;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;0.2;0
2;1;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;0.2;0
3;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;0;0;0;0;0;0.2;0
4;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;0.2;0
5;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;0.2;0
6;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;0.2;0
7;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;0.2;0
8;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;0.4;0
9;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;0.4;0
10;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;0.4;0
11;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;0.4;0
12;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;0.6;0
13;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;0.6;0
14;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;0.6;0
15;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;0.6;0
16;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;0.8;0
17;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;0.8;0
18;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;0.8;0
19;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;0.8;0
20;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;1.2;0
21;2;2;0;0.8;0.8;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;1.2;0
